step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
68,6.441488,0.019472,640.580000,3.937845,158.080000,3.477444,101.340000,2.126403,611.595000,4.710420,12.805000,2.091171,598.790000,4.284031,11.749093,0.107285,5.851755,0.021607,6.109855,0.026533,6.228178,0.055940,8.954790,0.086857
69,6.446215,0.019948,639.015000,3.563456,160.670000,3.370941,100.315000,1.989696,610.655000,4.340349,11.140000,2.056888,599.515000,4.152584,11.734793,0.115068,5.858595,0.021334,6.122579,0.027138,6.154671,0.047761,9.043105,0.088863
70,6.451684,0.019056,634.780000,4.194564,163.625000,3.642273,101.595000,2.128520,611.350000,4.578128,11.535000,2.069791,599.815000,4.240267,11.766730,0.116880,5.861123,0.021188,6.123346,0.025662,6.198599,0.048193,8.977066,0.089351
71,6.435295,0.019219,634.265000,4.236290,163.685000,3.693382,102.050000,2.161667,612.870000,4.604209,10.515000,1.943779,602.355000,4.188248,11.793488,0.116067,5.839941,0.020400,6.098836,0.025298,6.190541,0.052217,8.985945,0.091000
72,6.432648,0.020598,633.890000,4.517300,166.555000,3.953778,99.555000,2.038299,609.485000,4.744149,9.910000,1.939813,599.575000,4.302194,11.731096,0.107362,5.843932,0.022802,6.089186,0.027469,6.186777,0.050253,9.107651,0.098112
73,6.429681,0.021599,640.365000,4.167739,158.965000,3.639090,100.670000,2.142532,611.790000,4.783711,12.555000,2.061746,599.235000,4.468018,11.702715,0.126710,5.843789,0.022795,6.088247,0.028206,6.229927,0.055088,8.992120,0.099649
74,6.426715,0.018757,637.350000,3.983136,160.700000,3.317892,101.950000,2.272212,611.095000,4.679675,12.050000,2.146432,599.045000,4.339719,11.706955,0.116476,5.840022,0.020751,6.099553,0.025475,6.160588,0.044834,8.972645,0.099997
75,6.444270,0.019433,638.965000,4.192382,159.900000,3.613447,101.135000,2.031752,612.330000,4.765871,12.590000,2.097139,599.740000,4.408084,11.763510,0.122090,5.853243,0.021657,6.113135,0.027259,6.181754,0.055579,9.018144,0.082226
76,6.440742,0.018848,637.495000,4.240379,161.350000,3.883679,101.155000,2.115785,610.660000,4.977403,10.245000,1.924943,600.415000,4.574765,11.815619,0.123766,5.843533,0.020450,6.109014,0.027103,6.177063,0.056284,9.014747,0.091434
77,6.450032,0.017902,635.860000,4.292662,163.135000,3.682419,101.005000,2.095588,605.830000,4.715786,10.860000,1.908756,594.970000,4.358774,11.741941,0.105578,5.862042,0.020277,6.125416,0.026246,6.157404,0.056152,9.022001,0.085908
78,6.432552,0.019914,635.685000,4.261871,162.680000,3.716340,101.635000,2.104857,612.230000,4.527308,11.195000,1.964953,601.035000,4.170476,11.750354,0.118994,5.841685,0.020635,6.107793,0.026227,6.155751,0.054527,8.993057,0.086169
79,6.443142,0.018485,638.860000,4.150586,159.895000,3.596402,101.245000,2.090700,611.700000,4.603867,10.615000,1.951149,601.085000,4.233197,11.779900,0.115591,5.850169,0.020608,6.108298,0.025605,6.184657,0.056602,9.043153,0.089967
80,6.450347,0.018673,636.160000,4.482953,162.090000,3.732005,101.750000,2.191600,605.505000,4.968175,11.040000,2.051051,594.465000,4.375659,11.774553,0.122297,5.858768,0.021170,6.127898,0.026708,6.151755,0.049778,9.018719,0.092592
81,6.437495,0.020344,638.500000,3.997824,160.830000,3.516933,100.670000,2.108885,611.110000,4.700753,11.545000,1.937553,599.565000,4.224953,11.720217,0.115674,5.850526,0.021218,6.107786,0.027271,6.154619,0.054290,9.041145,0.086537
82,6.458951,0.019928,640.780000,4.022452,158.625000,3.438956,100.595000,2.184690,603.140000,4.976057,11.275000,1.997363,591.865000,4.805153,11.743265,0.121730,5.871806,0.023355,6.135259,0.028658,6.160699,0.053643,9.059838,0.093623
83,6.427355,0.021203,638.670000,3.979241,159.215000,3.407332,102.115000,2.076138,611.225000,4.739985,11.880000,2.005496,599.345000,4.105142,11.736181,0.114369,5.837486,0.021282,6.106154,0.026919,6.114358,0.052510,8.981267,0.082171
84,6.449312,0.019381,636.375000,3.678085,161.605000,3.303135,102.020000,2.117557,608.020000,4.809115,10.575000,1.883630,597.445000,4.392168,11.768312,0.122238,5.858312,0.021839,6.121762,0.028627,6.153694,0.050257,9.033693,0.094940
85,6.435196,0.019004,636.650000,4.264886,162.020000,3.545656,101.330000,2.225053,609.215000,4.881367,12.030000,2.024958,597.185000,4.429270,11.717708,0.112789,5.848250,0.020807,6.104397,0.025391,6.145549,0.049788,9.059730,0.093816
86,6.447640,0.018826,636.140000,4.458937,161.845000,3.714998,102.015000,2.020213,609.860000,4.827206,11.225000,2.000816,598.635000,4.365109,11.778998,0.122452,5.855266,0.020272,6.116077,0.025491,6.174189,0.055800,9.000185,0.084214
